temperature,vibration,pressure,rpm,runtime_hours,load_percent,oil_quality_index,failure_within_30_days
78.66,6.75,58.15,2852,7451,84.71,81.54,1
62.52,5.74,54.25,2241,9301,85.3,95.69,0
84.01,8.04,67.1,2850,2796,81.5,61.97,1
86.29,1.71,63.49,2227,2061,75.92,63.82,0
51.59,4.02,13.2,3393,9911,75.43,68.87,1
59.37,3.67,62.63,4164,5211,73.0,76.37,0
76.53,0.95,40.95,3042,1737,75.34,73.46,0
71.21,6.41,35.1,2483,13827,76.56,81.06,1
74.8,4.01,52.36,1533,5841,42.72,55.12,1
64.76,5.83,60.75,1958,14749,53.78,77.95,0
85.55,8.75,32.03,3577,9142,49.48,60.87,1
84.33,3.86,64.86,2285,10474,87.93,69.85,1
75.79,3.74,65.69,2615,7943,97.77,97.62,0
88.53,4.71,55.66,3128,50,28.96,51.03,0
80.61,6.28,42.85,3541,3316,96.17,67.81,1
64.69,3.48,41.29,2700,8371,69.56,52.88,1
79.43,3.36,69.36,2598,10824,86.23,74.3,0
63.49,6.4,33.84,2836,52,77.12,87.72,1
85.54,5.18,69.9,2486,8732,93.93,74.54,0
74.4,0.82,52.69,2513,3389,71.78,70.25,0
72.78,2.29,53.66,3006,10173,43.46,91.93,0
66.83,7.2,31.09,2893,8903,66.1,76.96,1
89.67,5.22,52.95,3866,12718,77.28,84.29,1
73.15,3.13,63.59,3019,14334,64.11,82.73,0
69.86,4.19,36.29,3376,11295,79.84,28.86,1
70.77,4.52,61.98,2264,13302,66.82,70.85,1
81.39,5.82,56.25,3063,7248,57.28,55.83,1
79.39,2.06,45.99,2439,23116,48.45,59.56,0
79.95,2.99,66.97,2998,2906,60.95,94.12,0
80.17,4.99,24.17,3144,6361,71.68,66.38,1
100.7,4.32,59.85,2825,13507,32.73,100.0,0
70.12,5.53,77.67,4004,12764,53.96,50.88,0
68.85,2.29,75.16,3514,11437,32.06,55.74,0
65.23,5.14,60.46,3389,12377,56.89,83.44,1
82.39,6.46,50.78,3182,50,89.55,66.88,1
88.55,5.38,46.1,3682,16946,46.65,76.61,1
73.63,4.75,50.76,2082,7981,80.66,70.32,1
64.92,4.33,62.61,3485,15229,119.28,69.86,0
65.11,3.0,43.7,2304,50,94.16,67.44,0
82.81,4.37,65.6,2518,10283,70.4,74.69,1
83.92,6.77,84.86,3081,6182,83.45,81.62,1
81.52,4.29,54.13,3417,11861,43.35,96.22,0
67.01,2.9,36.18,2223,10585,39.68,68.96,0
77.79,3.61,36.17,2544,10830,68.52,66.1,1
76.4,4.86,65.87,2849,3705,75.17,64.16,1
77.62,3.83,54.16,2707,8715,87.7,94.05,0
85.46,5.37,67.28,3227,8099,57.76,82.35,0
77.68,5.44,47.53,4200,11477,71.48,43.51,1
83.15,6.1,66.63,3010,13946,70.86,42.85,1
75.81,7.06,52.78,2432,9752,65.63,59.55,1
78.47,6.29,44.74,2152,2619,66.7,75.45,1
82.58,2.82,49.39,2637,9538,52.62,71.5,0
57.51,2.87,38.24,2330,22055,73.03,79.72,0
71.16,4.36,82.85,3034,17230,71.51,69.37,0
69.36,3.69,53.65,3026,50,60.08,92.96,0
67.33,2.45,64.02,2568,9317,79.98,83.58,0
71.7,3.7,47.48,3792,13661,86.5,73.16,0
92.94,3.65,40.27,2432,8088,80.19,89.18,0
64.61,3.29,51.73,2740,6700,49.24,47.27,1
86.62,3.93,70.42,3120,7665,69.79,70.72,1
54.81,6.62,47.71,3246,11761,51.59,74.06,0
70.98,4.86,42.81,3439,3258,69.74,81.03,0
76.95,8.95,57.18,3014,14943,51.66,46.27,1
82.03,4.81,61.99,3325,8720,90.99,68.09,1
83.53,3.98,78.0,2467,4325,82.1,78.01,0
84.52,4.51,59.95,3259,14622,88.75,79.16,1
70.82,4.96,64.02,3252,1274,86.93,89.79,0
69.45,5.28,65.07,3556,6224,63.13,83.42,0
85.3,8.24,38.86,1966,6142,60.34,71.09,1
72.7,2.98,41.51,2346,19720,99.35,82.12,1
59.69,6.05,39.83,3212,5575,65.03,68.98,1
61.4,4.87,36.35,1474,50,43.62,74.2,0
63.97,1.67,66.14,3046,6091,86.13,83.92,0
80.97,5.89,59.06,3330,11278,70.59,71.32,0
76.71,6.78,56.11,2512,12920,95.11,77.43,1
83.29,2.96,18.7,2585,20383,72.37,86.42,1
69.87,4.48,83.78,2263,16034,67.64,82.68,0
76.9,1.39,42.48,2539,9940,95.47,90.5,0
82.51,2.23,83.73,2554,4543,40.31,100.0,0
71.29,6.39,34.71,2459,17120,57.46,82.54,0
80.48,3.66,43.63,2431,7157,52.03,65.08,1
67.06,2.5,24.16,2664,5709,28.49,79.68,0
70.64,4.91,60.07,2658,6915,83.72,79.03,0
70.42,3.56,39.58,3737,2739,57.97,81.2,0
60.65,3.65,39.98,2603,6675,84.3,94.43,0
80.84,5.83,35.78,2972,7834,75.0,46.74,1
69.37,2.41,65.88,2512,12653,78.93,94.71,0
75.15,2.87,64.96,2505,7060,59.8,99.76,0
80.77,4.78,80.37,1948,2663,54.24,80.52,0
80.36,6.24,45.4,2014,981,69.62,80.88,0
82.98,6.73,58.06,2197,10048,84.55,68.38,1
73.82,3.3,36.95,2892,9363,67.09,72.09,0
69.92,6.19,50.31,3338,6228,55.37,82.47,1
74.04,3.09,47.74,1907,6663,46.42,81.5,0
54.75,7.79,61.5,2525,10942,71.67,82.81,0
57.63,2.46,69.24,2117,15953,58.03,81.4,0
59.13,6.89,68.87,2668,5099,66.71,85.48,0
63.03,3.32,43.2,3338,9445,63.7,83.8,0
79.8,8.12,68.98,2577,13791,60.0,56.63,1
64.13,5.56,54.38,2776,5119,73.29,84.48,0
70.46,2.67,50.46,3528,8922,77.98,99.88,0
90.59,3.56,45.08,3029,8810,103.38,71.6,1
70.72,5.91,47.16,2420,2444,81.64,94.49,0
83.85,6.39,79.39,2879,9842,96.69,58.24,1
63.8,4.37,59.3,2386,9158,53.27,71.55,0
72.53,4.58,57.44,3010,11775,39.18,62.38,0
63.6,5.87,51.33,3058,3066,67.74,92.69,0
70.93,4.74,89.24,2116,9050,83.44,96.61,0
85.08,2.17,73.27,2888,15909,80.62,70.51,0
54.27,3.04,44.91,2741,19387,89.8,89.57,0
80.21,4.92,51.17,3072,15401,22.34,96.76,0
